업소수,유동인구,직장인 평균소득(만원),반경내_가게수,위도,경도,예측매출(만원)
6,10106.25947,310.8165409,1,35.86724538,128.5950695,7432.53445
9,31415.55367,330.1042694,1,35.86880911,128.5978053,5553.985896
9,31403.71532,343.9514888,1,35.86882587,128.5980601,5553.868827
9,31403.32158,346.0551144,0,35.87095027,128.6004126,5525.734176
9,31393.26664,333.1622844,0,35.87095027,128.6004126,5525.478555
